################################# NEW ################################################
#mjd#       #iA      #iB      #mjd#       #rA      #rB      #mjd#       #vA      #vB    
??????????????    ???????????    ???????????    55767.38    16.50    19.23    55767.37    16.79    19.17
??????????????    ???????????    ???????????    55767.39    16.52    19.27    55767.37    16.79    19.22
??????????????    ???????????    ???????????    55767.39    16.51    19.19    55767.38    16.80    19.24
??????????????    ???????????    ???????????    55776.38    16.51    19.23    55776.37    16.82    19.18
??????????????    ???????????    ???????????    55776.39    16.52    19.19    55776.38    16.81    19.24
??????????????    ???????????    ???????????    55776.39    16.54    19.19    55776.39    16.82    19.25
??????????????    ???????????    ???????????    55795.37    16.44    19.09    55795.36    16.76    19.21
??????????????    ???????????    ???????????    55795.37    16.45    19.10    55795.36    16.76    19.17
??????????????    ???????????    ???????????    55795.37    16.44    19.07    55795.36    16.76    19.16
55803.29    16.27    18.80    55803.32    16.54    19.18    55803.25    16.80    19.18
55803.30    16.29    18.94    55803.34    16.54    19.08    55803.26    16.79    19.19
55803.30    16.30    18.93    55803.34    16.52    19.15    55803.26    16.79    19.19
55803.30    16.29    18.97    55803.35    16.53    19.09    55803.26    16.77    19.18
55803.31    16.27    18.93    ??????????????    ???????????    ???????????    55803.27    16.79    19.23
55803.31    16.28    18.88    ??????????????    ???????????    ???????????    55803.27    16.78    19.20
55803.31    16.29    18.99    ??????????????    ???????????    ???????????    55803.27    16.78    19.20
55803.32    16.29    18.92    ??????????????    ???????????    ???????????    55803.28    16.77    19.18
55803.32    16.28    18.86    ??????????????    ???????????    ???????????    55803.28    16.78    19.20


################################# B+G ################################################
#mjd#       #iA      #iB      #mjd#       #rA      #rB      #mjd#       #vA      #vB    
???????????	???????????	???????????	54660.37	16.45	18.39	54660.37	16.74	19.02
???????????	???????????	???????????	54660.38	16.46	18.39	54660.38	16.75	18.97
???????????	???????????	???????????	54660.39	16.43	18.46	54660.39	16.73	18.97
???????????	???????????	???????????	54674.35	16.47	18.43	54674.34	16.76	18.88
???????????	???????????	???????????	???????????	???????????	???????????	54674.35	16.77	18.89
???????????	???????????	???????????	???????????	???????????	???????????	54674.35	16.77	18.88
54675.39	16.26	17.99	54675.37	16.49	18.42	???????????	???????????	???????????
54675.39	16.26	17.98	???????????	???????????	???????????	???????????	???????????	???????????
54675.39	16.26	17.98	???????????	???????????	???????????	???????????	???????????	???????????
54677.38	16.28	18.00	???????????	???????????	???????????	54677.37	16.79	18.86
54677.39	16.28	18.01	???????????	???????????	???????????	54677.38	16.76	18.89
54677.39	16.28	17.98	???????????	???????????	???????????	54677.38	16.79	18.91
54681.37	16.33	18.06	54681.35	16.53	18.47	54681.34	16.77	18.90
54681.38	16.33	18.06	???????????	???????????	???????????	54681.35	16.76	18.88
54681.38	16.34	18.07	???????????	???????????	???????????	54681.35	16.78	18.91
???????????	???????????	???????????	54708.29	16.51	18.45	???????????	???????????	???????????
???????????	???????????	???????????	54729.33	16.42	18.40	54729.34	16.74	???????????
???????????	???????????	???????????	54729.33	16.42	18.42	???????????	???????????	???????????
54730.30	16.31	18.05	???????????	???????????	???????????	???????????	???????????	???????????
54730.31	16.29	18.03	???????????	???????????	???????????	???????????	???????????	???????????
54730.31	16.31	18.06	???????????	???????????	???????????	???????????	???????????	???????????
								
								
55066.31	16.35	18.04	55066.32	16.57	18.47	55066.31	16.94	???????????
???????????	???????????	???????????	55066.32	16.56	18.50	???????????	???????????	???????????
???????????	???????????	???????????	55066.33	16.56	18.47	???????????	???????????	???????????
55067.39	16.28	18.00	55067.41	16.58	18.47	55067.40	16.85	18.96
???????????	???????????	???????????	55067.41	16.58	18.47	???????????	???????????	???????????
???????????	???????????	???????????	55067.41	16.57	18.48	???????????	???????????	???????????
55068.38	16.34	18.04	55068.40	16.62	18.49	55068.39	16.89	18.99
55068.38	16.35	18.07	55068.40	16.61	18.48	55068.39	16.90	18.98
55068.38	16.35	18.05	55068.40	16.61	18.50	55068.39	16.90	18.98
55070.34	16.36	18.07	55070.35	16.60	18.47	55070.35	16.90	19.00
???????????	???????????	???????????	55070.36	16.59	18.47	55070.35	16.87	18.98
???????????	???????????	???????????	55072.34	16.64	18.53	55072.32	16.95	19.02
???????????	???????????	???????????	55072.34	16.65	18.53	55072.33	16.93	19.00
???????????	???????????	???????????	???????????	???????????	???????????	55072.33	16.95	19.02
???????????	???????????	???????????	55075.41	16.60	18.47	???????????	???????????	???????????
55087.33	16.30	18.02	55087.32	16.59	18.51	55087.31	16.86	18.97
55087.33	16.32	18.02	???????????	???????????	???????????	55087.31	16.85	19.02
55088.29	16.30	18.02	55088.28	16.55	18.47	55088.28	16.83	18.95
55088.30	16.31	18.03	55088.29	16.55	18.48	???????????	???????????	???????????
